year,industry_gdp_pct__AUS,industry_gdp_pct__BRA,industry_gdp_pct__CAN,industry_gdp_pct__CHL,industry_gdp_pct__CHN,industry_gdp_pct__RUS,industry_gdp_pct__USA,industry_gdp_pct__ZAF,mining_rents_pct_gdp__AUS,mining_rents_pct_gdp__BRA,mining_rents_pct_gdp__CAN,mining_rents_pct_gdp__CHL,mining_rents_pct_gdp__CHN,mining_rents_pct_gdp__RUS,mining_rents_pct_gdp__USA,mining_rents_pct_gdp__ZAF,gdp_growth__AUS,gdp_growth__BRA,gdp_growth__CAN,gdp_growth__CHL,gdp_growth__CHN,gdp_growth__RUS,gdp_growth__USA,gdp_growth__ZAF,gdp_per_capita__AUS,gdp_per_capita__BRA,gdp_per_capita__CAN,gdp_per_capita__CHL,gdp_per_capita__CHN,gdp_per_capita__RUS,gdp_per_capita__USA,gdp_per_capita__ZAF,exports_goods_services_pct_gdp__AUS,exports_goods_services_pct_gdp__BRA,exports_goods_services_pct_gdp__CAN,exports_goods_services_pct_gdp__CHL,exports_goods_services_pct_gdp__CHN,exports_goods_services_pct_gdp__RUS,exports_goods_services_pct_gdp__USA,exports_goods_services_pct_gdp__ZAF,ore_metals_exports_pct__AUS,ore_metals_exports_pct__BRA,ore_metals_exports_pct__CAN,ore_metals_exports_pct__CHL,ore_metals_exports_pct__CHN,ore_metals_exports_pct__RUS,ore_metals_exports_pct__USA,ore_metals_exports_pct__ZAF,fuel_exports_pct__AUS,fuel_exports_pct__BRA,fuel_exports_pct__CAN,fuel_exports_pct__CHL,fuel_exports_pct__CHN,fuel_exports_pct__RUS,fuel_exports_pct__USA,fuel_exports_pct__ZAF,gfcf_pct_gdp__AUS,gfcf_pct_gdp__BRA,gfcf_pct_gdp__CAN,gfcf_pct_gdp__CHL,gfcf_pct_gdp__CHN,gfcf_pct_gdp__RUS,gfcf_pct_gdp__USA,gfcf_pct_gdp__ZAF,inflation_cpi__AUS,inflation_cpi__BRA,inflation_cpi__CAN,inflation_cpi__CHL,inflation_cpi__CHN,inflation_cpi__RUS,inflation_cpi__USA,inflation_cpi__ZAF,unemployment__AUS,unemployment__BRA,unemployment__CAN,unemployment__CHL,unemployment__CHN,unemployment__RUS,unemployment__USA,unemployment__ZAF,total_natural_resources_rents__AUS,total_natural_resources_rents__BRA,total_natural_resources_rents__CAN,total_natural_resources_rents__CHL,total_natural_resources_rents__CHN,total_natural_resources_rents__RUS,total_natural_resources_rents__USA,total_natural_resources_rents__ZAF
1981,,45.8032024598864,,35.4785442814874,45.8879142657795,,,40.8372992084562,1.34657639539804,0.646954627487347,0.486517344775379,4.02403099077619,0.532478138222438,,0.0911129756224353,5.49011885400508,3.34242019351289,-4.24999999999956,3.41506518150013,6.71863895635887,5.11276109058952,,2.53770126828974,5.36079105964045,11870.8633077339,2079.70908377484,12379.0368643833,3012.3447816477,197.425510967822,,13976.10539252,3049.71474333882,14.8655468243097,9.62284037096842,26.3846584029667,15.2466633451147,12.4198281796671,,9.51777666702733,25.2033912820074,17.4877109003126,9.35122644855077,11.702964780654,62.9503299536465,,,3.05255473730476,7.65794910182529,16.0064029708026,5.05565512187762,13.8409554215054,1.80077741297323,,,4.53751586869299,6.099248400334,28.3547754962938,23.4303993145604,25.019681939852,19.4076479620061,27.2088337088195,,23.3473784713074,27.3235542397142,9.48766603415561,101.725072957927,12.4716124148372,19.6868327084319,,,10.3347153402771,15.2542337674194,,,,,,,,,5.01787212080984,2.4347097567803,5.82610102003029,5.56381496748019,19.467446076565,,4.04888001250875,11.020952107359
1982,,45.1924312209896,,35.5402276991489,44.5356524686084,,,39.096873793902,1.33777651813518,0.680272326468683,0.356449698348743,4.94006171633485,0.465097625470962,,0.0469297066867793,4.03024152850405,3.32864998005238,0.829999999999529,-3.16615022065891,-11.5020620535762,9.05928417062999,,-1.80301378934359,-0.383419108375435,12797.6758959809,2137.6250359394,12527.3135323802,1663.28043251256,203.722788366928,,14433.787727053,2717.16388710425,13.4991340885217,7.90048452532258,25.1926292116307,18.4422561478579,10.9986490384497,,8.46973298853486,23.387580942579,19.3597761582888,10.4993596821554,9.72105869963591,61.572345643767,,,2.7254445504212,7.72593313882347,18.2198286244814,7.15570915277825,14.3353531918953,1.99386479617839,,,6.17334460360361,6.49015068653044,28.9106549697641,22.2552389722697,22.5685955778361,14.5925358783494,28.1856541570696,,22.5161037374069,27.0659119173206,11.3518197573657,100.54335919485,10.7689718997139,9.94102693041832,,,6.13142700027493,14.6390405853128,,,,,,,,,4.26922408952065,2.68175882307319,3.2491612073497,6.62939973489201,16.7508523318146,,2.39193449570472,10.7813376290142
1983,,42.7384283670828,,38.0687334742006,44.1437523298798,,,39.3343969546841,1.24589067847388,0.978207998412623,0.371859889218298,7.0633787038882,0.407938801657631,,0.0502391234933934,4.74083851461688,-2.22582353017135,-2.92999999999996,2.56225358775578,-4.9352297090374,10.7273706842105,,4.58379098362749,-1.84655774595063,11532.4028055582,1461.25582714178,13477.1031699599,1715.40345654344,225.86534696156,,15543.8937174925,2938.48980239675,13.5533085909493,12.2437555659291,24.92499691443,23.1190708543507,9.49953661216008,,7.62226481946529,21.7678506451703,20.1807803280342,9.67248534948467,9.22092086018071,63.8833397840006,,,2.87969206840239,7.70008670781062,23.1569387056819,5.29088505956537,13.759514794723,1.58310564973858,,,4.91038812628473,6.08703319776915,26.5114292944203,19.4347970230088,21.0234123555716,13.3097548769588,28.1231988876917,,22.4112406089314,25.9486289547588,10.0389105058366,135.027682230473,5.86358802977368,27.2571946726204,,,3.21243523316065,12.3032053006006,,,,,,,,,4.23915837033398,3.513261433871,4.28149482838967,9.16236173269569,12.6162173602657,,2.66669832726867,9.1053548000585
1984,,46.6388394486218,,37.7862494882812,42.8491719516209,,,37.9563442938494,1.34747700868867,0.989265371762926,0.395074532825599,6.00314320808787,0.287607377236682,,0.0303192328003187,0.810958098287798,4.5644786594345,5.39999999999988,5.8985694010334,3.98371018713553,15.2325609955089,,7.23645316474058,5.09915163001477,12436.2969052038,1419.73154606978,13930.4745502555,1636.22476246476,251.192686463827,,17121.2254849995,2504.07736790289,13.5411164760378,15.0354125354877,27.9365608481642,22.4552872653066,9.50853686392573,,7.48907832424752,22.4987420831104,18.738258573833,8.90297782928162,8.83693441142194,58.3101203108457,2.20438013141568,,2.87971621680694,8.69425008183007,24.3570270548502,6.7678845692108,13.1029416592401,1.26268590871573,23.0209765667404,,4.41973450336194,7.32118696210114,26.0048331081934,18.7409087149633,20.1597018091457,15.3860767019267,29.2651676361692,,23.4759002410583,23.6344613320341,3.96039603960396,192.121733132051,4.30477830391737,19.8602056602626,,,4.30053547523429,11.526481434496,,,,,,,,,4.11842297410993,3.5338366382632,4.27715647839391,8.09788641648206,10.3999047481946,,2.33920575265163,5.36043298111018
1985,,43.5300066111487,,38.8062743473158,42.6328942507048,,,37.8549203321755,1.51857079663669,1.10649847955781,0.33634571889016,7.21348513904364,0.254013353131154,,0.0325718001283689,3.80390613106668,5.28169814609451,7.85000000000042,4.73768081475092,3.55239860775048,13.435474366529,,4.16957534699196,-1.21154088240387,11455.379711213,1556.1297180511,14170.1249406067,1446.80604557863,295.007445815897,,18236.8277265009,1839.4841908184,15.2035523586966,12.9485790961438,27.5469124667268,25.9350262014508,8.32129856902917,,6.98807253964585,27.9028811282273,18.1309328732305,9.39303518224068,8.45044532055589,59.2082876647162,1.52152102105662,,2.81506006676623,,26.9110893271408,6.35625773629529,14.0507464018535,0.473205281265727,25.7589527332764,,4.85418230686114,,26.9836759448146,17.9178544928284,20.7064818499801,16.5072700573698,30.3746507037155,,23.6853416437369,23.0476336324212,6.734693877551,225.989665211895,3.96203054065205,30.7034989096151,,,3.54564415209365,16.2942252426421,,,,,,,,,4.83178579259052,3.80860118136164,4.19241992197057,9.03292014450356,9.78977585019452,,2.09298182286231,10.8450678188133
1986,,42.0041415606782,,34.8077951769043,43.4347042423426,,,38.1564032502476,1.29155905849684,0.856235316638621,0.229114969557248,6.06592838172831,0.175061500665316,,0.0221619981045521,3.51555074132424,3.96976309787884,7.48999999999982,2.12148083355379,5.40556438635799,8.93506493506504,,3.46265505694664,0.0178492401652193,11406.1093011037,1854.03775211919,14521.1800806,1524.97809458987,282.445603096707,,19071.2271949295,2027.4662038189,14.9537898452515,9.21727907000127,26.9876383798872,26.8922386904566,8.69621588638232,,7.00925467575881,27.2476702979394,18.1742273846861,10.9021707434212,8.45809485865031,53.356610755464,1.43441147933416,,2.6555660309349,,22.8288802886391,3.12467488216838,9.65404705252112,0.0618128231824088,11.6427404345573,,3.97392020545445,,28.1039671054143,19.9608396615159,21.0365911550804,16.8549246484864,30.9028394412806,,23.5971413417369,20.443508453746,9.05035054174634,147.142826237604,4.19478629085621,19.4768379232582,,,1.89804772234276,18.6549230388755,,,,,,,,,3.35159311111338,2.3664187207187,1.87617525224145,7.08457413109978,5.75920686839352,,0.910129605763473,8.66048788524986
1987,,42.8945846718162,,35.635553091306,43.241959925714,,,36.6644619689646,1.41786288435197,0.801432362326877,0.345823584294277,7.49238211923099,0.258693727832562,,0.0338249560234262,3.62462496665048,2.5567680273608,3.52999999999983,4.07201574110678,6.73884253090458,11.6282225655699,,3.45462966856461,2.10072902053675,11665.5298271811,2006.00226235757,16377.6902109541,1767.41389670161,252.256760114454,,20038.9410992658,2586.27423314228,15.4383272587761,9.82848202733551,26.0034196010698,27.899127374623,12.4601248299538,,7.49591933621889,26.8913762401425,17.7897666345516,10.2343136563114,8.52781666784847,52.3845283685646,3.08700557244464,,2.55384204001357,,20.9376950663451,3.60793733843234,10.1008578319833,0.140397222231175,11.4550504352848,,3.17126748849486,,27.898086950456,23.1736258501997,21.8600261867618,19.2210351862357,30.5045534375743,,23.0610590880116,18.3708979903332,8.53302162478083,228.336162575513,4.3561087122174,19.8808457201905,7.23383553065609,,3.6645632175169,16.1605948546791,,,,,,,,,3.43625621706477,2.65274212548969,2.70475406044989,8.58218696306459,6.49280601379339,,1.2173139452471,7.10334308912649
1988,,42.2697313812777,,40.9883945513975,43.4500850326178,,,36.3444844915986,2.81149219378364,0.843087562676458,1.09689359806209,10.9038080225235,1.11136888543569,0.0,0.106855029618885,3.27733085985181,5.76137011855324,-0.059999999999917,4.41083900341744,7.35081069623416,11.2225949825209,,4.1769823865164,4.20010964838187,14303.093047615,2140.65027561164,19012.5723278349,2013.53987790886,284.023573149686,3778.01977539063,21417.0119305191,2702.05504774508,15.9326018326492,11.6673585476931,26.052889324192,32.3093535908079,14.3577170443892,,8.49052351999585,25.8024942044435,23.8698807570558,,8.65953147545503,,,,,,16.1889646633392,,9.00305383476602,,,,,,27.7266657230595,24.3436482411539,22.6287059694302,20.5783100985407,30.9997000868056,,22.4748579091359,19.5830583616766,7.21593968766828,629.114509120897,4.02823414871611,14.684351250082,18.8118179448753,,4.07774110744413,12.779553083028,,,,,,,,,4.20490600390199,2.35076334658211,2.72005770603422,11.8720794878324,6.28565315693549,5.81803316378109,0.96888198069868,6.90012319771553
1989,,42.2838305792496,,39.7075817893127,42.4213011853574,46.5968586387435,,35.7709204467263,1.51430114823268,0.753599477657633,0.790006586119934,11.8368550331015,0.395103473714275,0.0,0.0529651169270773,2.31496748422728,3.87901779350344,3.16000000000032,2.33732975738413,10.3583568690228,4.20633435547828,,3.67223784383981,2.39479511538406,17857.5520554588,2818.99277980122,20794.682233334,2277.84764297202,311.429461227032,3429.64990234375,22857.1544330056,2726.70980679488,15.0980184782933,8.92960967188901,25.0463459995027,33.5152629480169,11.8235049297269,21.9022687609075,8.93879019707245,23.7068402759399,26.0709192164046,12.1892803096413,9.05696196803814,,,,3.21408660909693,,16.4115198707654,2.47846260917892,9.1855853787745,,,,2.8238903031564,,28.6614220204633,26.9027870382664,22.9614088588238,24.0921618210257,25.5610476002324,31.7626527050611,22.0229262015251,20.9439122073431,7.53390256152688,1430.7237251472,4.98362189985958,17.0279367308962,18.2456383621648,,4.82700303008944,14.7308753982381,,,,,,,,,2.96326048547822,2.30401251802806,2.66632156919484,12.8332145779434,7.05998093097386,9.3814582434218,1.07193822037119,6.49961862512435
1990,28.8235889260958,33.2718794578641,,38.874404083697,40.9532139003469,45.0035703197765,,35.6076007199649,1.50973725272876,0.768736210537957,0.549339394031579,9.54796165008491,0.376864557442531,0.0,0.047814587835792,1.72038050669748,3.57297569098456,-4.35000000000022,0.202947874139198,3.59872304691744,3.9416305983694,-2.99999564243126,1.88596558187626,-0.317760426540374,18273.561526468,2619.80141064047,21525.8611387148,2487.76829657299,318.50335359039,3494.06323242188,23888.6000088133,3093.48920352334,15.0947214126902,8.1972364845005,25.0742989585924,32.2119449244153,13.5882641172526,18.1620614715927,9.25473206751338,21.5385417337418,25.3446134983235,13.6806877385978,8.46457276593594,53.1049624594718,,,3.04268821212894,,19.96695021361,2.17274623720328,9.98614938509996,0.508645743376612,,,3.25140191503474,,27.623562275288,20.6635851959048,21.7046416899472,23.7709729412989,23.9421564099717,28.7022663769016,21.2852817238692,19.6346821943599,7.33302195235872,2947.732772483,4.78047693336304,26.0364811362364,3.05229012075233,,5.39795643990325,14.3209918914915,,,,,,,,,3.49861736214292,2.68167389862843,2.75149660597247,11.1674175940099,8.63870038140403,12.732460585784,1.23250818918509,5.69756198732845
1991,27.7022510543552,31.7672428092758,,36.9954749325527,41.3647026718439,45.8648552020021,,34.4217067552365,1.26860233331083,0.668690322705163,0.469744784784788,4.75579550316189,0.742892477567943,0.0,0.0284622591994412,2.01761497749447,-0.384631357046658,1.0321895854696,-2.0910550979319,7.75620189312957,9.36170212784847,-5.04693945142463,-0.108312882368935,-1.0182449675445,18885.4274465057,2258.10454027063,21846.7930471354,2798.34262413795,334.130288119078,3490.45239257813,24342.2589048189,3243.23616023953,16.0067228668844,8.67763659887868,24.3533165282791,30.9848794845346,14.4450323111337,13.2713621737576,9.66090512231881,19.3408153425832,23.5387006115261,14.3961730893782,7.71331432499954,46.9649211588354,,,2.77790675977808,,21.5918131377711,1.37841746275907,10.783301440987,0.501583244319668,,,3.012912024288,,24.5348574396361,18.1090137013569,20.2636750060205,20.7492215013557,26.0333742620373,23.2677869145513,20.1170193089492,17.8611989071624,3.17667536988685,432.786661926461,5.62586408593005,21.7844124277757,3.55668565220452,,4.23496396453849,15.3347785733672,9.586,6.887,10.316,5.23,2.37,5.11,6.8,23.137,2.64782212263593,2.32109734238196,2.10518930781771,5.94722567017809,6.08171887067132,6.26609182608552,0.908448702232653,5.44865900528835
1992,26.9338838100855,34.1322718402493,,34.8170307202377,42.9556871107431,42.2502714360863,,33.060858320151,1.19653198015618,0.653833070192071,0.346063228785098,3.63722443219166,0.68941916565197,1.02540691750139,0.0399068374224523,1.39136859706887,0.433065864126704,-0.544072051030298,0.890466180427183,11.5019314370192,14.2996108947926,-14.5310737729264,3.52249717301392,-2.13703284500521,18650.3675476612,2127.29083011489,20950.3305287651,3351.84108855522,367.822651903542,3098.802734375,25418.9907763319,3462.39400202835,16.6348569743439,10.8683116605935,26.1991325601724,28.5950704800945,15.6002410213269,62.3224618621778,9.70891490564814,18.9551466044412,21.2750652378062,11.9505802506673,7.18879882809228,45.5275123196896,1.69054452864012,,2.30243112932218,10.1041673840215,21.1705850872818,1.60640672826572,10.3028321839473,0.333449382813415,5.52424102009769,,2.61777454492857,6.92522148927818,22.8064877617222,18.4232590300656,19.3853036317779,23.4984374150546,30.615923445537,23.9347711730668,19.8271651099707,16.3687813304511,1.01223112610714,951.962053052818,1.49013290374545,15.4258064688928,6.35398134024869,,3.02881967814969,13.874703748615,10.733,7.086,11.197,4.35,2.37,5.181,7.5,23.463,2.486084263417,2.48015551009855,2.35646663286738,4.63171552198061,5.33846886521972,7.92090688488057,0.93569465521117,4.45678523091591
1993,26.8882854368234,37.2991204114669,,34.541908173271,45.9877158881844,40.5255052183546,,31.9307593029594,0.938088610207713,0.401330252888895,0.202891515474079,2.264798518016,0.523713114155201,0.606770197278974,0.036019034208057,1.64732943621543,4.04583374101011,4.92469000463774,2.65770691557481,6.6855844008042,13.9290780143689,-8.66854034260423,2.75179586709815,1.23355793864741,17724.5399501656,2348.90635436384,20186.7988782965,3540.91377313015,378.939353053314,2930.67016601563,26387.2937338171,3399.64009566241,17.5151962018487,10.5032716554144,29.1425993625483,25.5450555023598,16.6339975209836,38.2045944842866,9.54718039168286,19.914366630953,20.0311092083798,10.6614353693522,6.01838427444729,42.0244888023848,1.65044352178807,,2.09421720177806,7.68503687453623,20.4247986391247,1.66641390246461,10.5027688679219,0.172904124654129,4.4783689356894,,2.21655716454674,6.81488853261277,23.4529547171169,19.2831161146442,18.6566394971066,26.2188854128558,37.3107535797341,20.3894816628768,20.090153048184,14.7481168654162,1.75365344467641,1927.38079016026,1.86507936507939,12.7277669490964,14.6100786356602,874.245720380188,2.95165696638559,9.71742729803028,10.879,6.03,11.377,4.49,2.69,5.883,6.9,23.361,2.22706966177681,2.05663127242723,2.61882501357104,3.35411622206962,4.4490741652727,7.61983790170856,0.892085449925274,4.45349964332174
